DesignName,ParticipantID,TrialID,Block1,Block2,VV,OC
Design 1,1,1,1,1,Parallelism,Medium
Design 1,1,2,1,1,Parallelism,Medium
Design 1,1,3,1,1,Parallelism,Medium
Design 1,1,4,1,1,Parallelism,Medium
Design 1,1,5,1,1,Parallelism,Medium
Design 1,1,6,1,2,Parallelism,Small
Design 1,1,7,1,2,Parallelism,Small
Design 1,1,8,1,2,Parallelism,Small
Design 1,1,9,1,2,Parallelism,Small
Design 1,1,10,1,2,Parallelism,Small
Design 1,1,11,1,3,Parallelism,Large
Design 1,1,12,1,3,Parallelism,Large
Design 1,1,13,1,3,Parallelism,Large
Design 1,1,14,1,3,Parallelism,Large
Design 1,1,15,1,3,Parallelism,Large
Design 1,1,16,2,1,Direction,Medium
Design 1,1,17,2,1,Direction,Medium
Design 1,1,18,2,1,Direction,Medium
Design 1,1,19,2,1,Direction,Medium
Design 1,1,20,2,1,Direction,Medium
Design 1,1,21,2,2,Direction,Small
Design 1,1,22,2,2,Direction,Small
Design 1,1,23,2,2,Direction,Small
Design 1,1,24,2,2,Direction,Small
Design 1,1,25,2,2,Direction,Small
Design 1,1,26,2,3,Direction,Large
Design 1,1,27,2,3,Direction,Large
Design 1,1,28,2,3,Direction,Large
Design 1,1,29,2,3,Direction,Large
Design 1,1,30,2,3,Direction,Large
Design 1,1,31,3,1,Direction_Parallelism,Medium
Design 1,1,32,3,1,Direction_Parallelism,Medium
Design 1,1,33,3,1,Direction_Parallelism,Medium
Design 1,1,34,3,1,Direction_Parallelism,Medium
Design 1,1,35,3,1,Direction_Parallelism,Medium
Design 1,1,36,3,2,Direction_Parallelism,Small
Design 1,1,37,3,2,Direction_Parallelism,Small
Design 1,1,38,3,2,Direction_Parallelism,Small
Design 1,1,39,3,2,Direction_Parallelism,Small
Design 1,1,40,3,2,Direction_Parallelism,Small
Design 1,1,41,3,3,Direction_Parallelism,Large
Design 1,1,42,3,3,Direction_Parallelism,Large
Design 1,1,43,3,3,Direction_Parallelism,Large
Design 1,1,44,3,3,Direction_Parallelism,Large
Design 1,1,45,3,3,Direction_Parallelism,Large
Design 1,2,1,1,1,Direction_Parallelism,Large
Design 1,2,2,1,1,Direction_Parallelism,Large
Design 1,2,3,1,1,Direction_Parallelism,Large
Design 1,2,4,1,1,Direction_Parallelism,Large
Design 1,2,5,1,1,Direction_Parallelism,Large
Design 1,2,6,1,2,Direction_Parallelism,Medium
Design 1,2,7,1,2,Direction_Parallelism,Medium
Design 1,2,8,1,2,Direction_Parallelism,Medium
Design 1,2,9,1,2,Direction_Parallelism,Medium
Design 1,2,10,1,2,Direction_Parallelism,Medium
Design 1,2,11,1,3,Direction_Parallelism,Small
Design 1,2,12,1,3,Direction_Parallelism,Small
Design 1,2,13,1,3,Direction_Parallelism,Small
Design 1,2,14,1,3,Direction_Parallelism,Small
Design 1,2,15,1,3,Direction_Parallelism,Small
Design 1,2,16,2,1,Parallelism,Large
Design 1,2,17,2,1,Parallelism,Large
Design 1,2,18,2,1,Parallelism,Large
Design 1,2,19,2,1,Parallelism,Large
Design 1,2,20,2,1,Parallelism,Large
Design 1,2,21,2,2,Parallelism,Medium
Design 1,2,22,2,2,Parallelism,Medium
Design 1,2,23,2,2,Parallelism,Medium
Design 1,2,24,2,2,Parallelism,Medium
Design 1,2,25,2,2,Parallelism,Medium
Design 1,2,26,2,3,Parallelism,Small
Design 1,2,27,2,3,Parallelism,Small
Design 1,2,28,2,3,Parallelism,Small
Design 1,2,29,2,3,Parallelism,Small
Design 1,2,30,2,3,Parallelism,Small
Design 1,2,31,3,1,Direction,Large
Design 1,2,32,3,1,Direction,Large
Design 1,2,33,3,1,Direction,Large
Design 1,2,34,3,1,Direction,Large
Design 1,2,35,3,1,Direction,Large
Design 1,2,36,3,2,Direction,Medium
Design 1,2,37,3,2,Direction,Medium
Design 1,2,38,3,2,Direction,Medium
Design 1,2,39,3,2,Direction,Medium
Design 1,2,40,3,2,Direction,Medium
Design 1,2,41,3,3,Direction,Small
Design 1,2,42,3,3,Direction,Small
Design 1,2,43,3,3,Direction,Small
Design 1,2,44,3,3,Direction,Small
Design 1,2,45,3,3,Direction,Small
Design 1,3,1,1,1,Direction,Small
Design 1,3,2,1,1,Direction,Small
Design 1,3,3,1,1,Direction,Small
Design 1,3,4,1,1,Direction,Small
Design 1,3,5,1,1,Direction,Small
Design 1,3,6,1,2,Direction,Large
